LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,DATE,NARRATIVE
https://x.com/scarlett4kids/status/1661888114720161792,Here’s why the ,Scarlett Johnson,5104,248,23200,"8:12 PM · May 25, 2023",target_suits_engagements
https://x.com/glennbeck/status/1661436833060847625,"In just one week, Target has gone from applauding its newest pro-trans merchandise as a ""good business decision"" to relocating it to the back of some stores. This is because people like YOU decided to speak with your dollars and let them know you've had ENOUGH of this.",Glenn Beck,875,46,4554,"2:19 PM · May 24, 2023",target_suits_engagements
https://x.com/iheartmindy/status/1662202380606373888,"For all the pedo-apologists trying to claim Target’s “genital tucking” swimsuits aren’t being promoted to kids…then why are they using one to model them?

Take your lies and your fake fact checkers and shove them, groomers. ",Mindy MF Robinson,580,31,1928,"5:01 PM · May 26, 2023",target_suits_engagements
https://x.com/MattWalshShow/status/1658555417251704832,What ,The Matt Walsh Show,14300,1407,39800,"3:30 PM · May 16, 2023",target_suits_engagements
https://x.com/scarlett4kids/status/1661124520093122565,Conservative women should be embarrassed to shop at ,Scarlett Johnson,6783,372,24800,"5:38 PM · May 23, 2023",target_suits_engagements
https://x.com/Liz_Wheeler/status/1659922300513263616,Target’s transgender “tuck-friendly” clothing for children was inspired by a drag queen. These people are deliberately destroying our kids. I will never spend another penny at Target. Boycott them into obscurity.,Liz Wheeler,4383,279,13400,"10:01 AM · May 20, 2023",target_suits_engagements
https://x.com/megbasham/status/1661843483043176466,So ,Megan Basham,3034,182,12100,"5:15 PM · May 25, 2023",target_suits_engagements
https://x.com/charliekirk11/status/1661065095919849472,"BREAKING: Target is holding an ""emergency"" meeting over its woke LGBTQ merchandise and tuck friendly bathing suits in the kids section, trying to avoid a ""Bud Light Situation"" 

Target hates you. Stop shopping there. Make them suffer!",Charlie Kirk,3093,287,12700,"1:42 PM · May 23, 2023",target_suits_engagements
https://x.com/DameScorpio/status/1723294486141272144,THE BIGGEST BUSINESS LOSERS OF THE YEAR…,𝓓𝓪𝓻,198,1,295,"5:59 AM · Nov 11, 2023",target_suits_engagements
https://x.com/Teagan1776/status/1661221132383449090,"Tuck Friendly Target can hold all the Emergency meetings they want, yet the fact is they targeted Children. There is No amount of rebranding or saying Oopsy that will Ever change public opinion when it comes to forgiving groomers! Bye Felicia!!!",Teagan1776,816,50,1149,"12:02 AM · May 24, 2023",target_suits_engagements
https://x.com/DrLoupis/status/1658040389054484483,The kids pride collection from Target (US) includes a penis tucking swimsuit for babies.,Dr. Anastasia Maria Loupis,413,113,1015,"5:23 AM · May 15, 2023",target_suits_engagements
