LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,DATE
https://x.com/libsoftiktok/status/1857193801208697229,"An “asylum seeker” was arrested after she stabbed a young girl and injured two others at a hotel rented by NYC.

Mass deportations!",Libs of TikTok,1619.0,32.0,6312.0,"5:48 PM · Nov 14, 2024"
https://x.com/EndWokeness/status/1856011922610483422,"Meet our new White House Deputy Chief Of Staff. Invaders, pack your bags…",End Wokeness,1228.0,41.0,11800.0,"11:31 AM · Nov 11, 2024"
https://x.com/libsoftiktok/status/1857188496101802314,Police sergeant for the ,Libs of TikTok,7943.0,354.0,17400.0,"5:26 PM · Nov 14, 2024"
https://x.com/AmiriKing/status/1857190857163800653,"Trump has declared war on the cartels and labeled them a terrorist organization.

But there’s a bigger issue.

Mexico has some of the strictest gun laws on the planet. The citizens of Mexico are sitting ducks.

Did you know there’s only ONE gun store in all of Mexico?

It’s on a military base in Mexico City and it’s Government owned and operated.

This is where Mexican citizens can shop for a gun, but there are MANY hurdles.

Citizens are allowed to own one semi automatic handgun. Anything chambered in 9mm and above are prohibited for civilian use.

Citizens can have up to .380 or .38 for a revolver.

(Citizens are prohibited from owning ‘assault rifles.’)

HOWEVER, to own a handgun you have to wait months for paperwork and legalese.

You also have to provide proof of employment, pass a medical exam, AND a psychological evaluation.

It’s pretty obvious that Mexican authorities DO NOT want Mexican citizens owning a gun.

So it should come as no surprise that there are 128 million citizens in Mexico, but only 3000 people have licenses to carry.

You’d think that Mexico must be a pretty safe place. Right?

We all know that’s wrong.

Around 20k people are murdered by cartels annually, around 200 are American citizens.

How can a country be so gun free yet firearms are the leading cause of death for both male AND female homicide victims?

Why does gun free Mexico have more than 4 times the gun homicides than their 2nd amendment neighbor, America?

Important questions we need to be asking.

Another example that gun control is horseshit.

An armed society is a polite society. ",Amiri King,35.0,4.0,237.0,"5:36 PM · Nov 14, 2024"
https://x.com/visegrad24/status/1858208564726108521,"The Welsh Government has pledged to change the “beliefs and behaviour of the white majority” in Wales.

Labour’s devolved administration vowed to eradicate racism by 2030, and set out an anti-racist action plan which insists that all aspects of public life are made “inclusive”.

To meet the demands of the plan, public bodies have launched policies which include potentially destroying statues of “old white men” that have been deemed offensive, and official reports have advised creating “dog free areas” to boost inclusion.",Visegrád 24,188.0,47.0,953.0,"1:00 PM · Nov 17, 2024"
https://x.com/MattWallace888/status/1855754799960166669,My ancestors on both sides go back to the founding of this country. 1776 is in my blood. I WILL FIGHT LIKE HELL TO PROTECT WHAT THEY BUILT!!!,Matt Wallace,196.0,5.0,1156.0,"6:29 PM · Nov 10, 2024"
https://x.com/CollinRugg/status/1856376458664403066,"JUST IN: Police bodycam footage shows witnesses *defending* Daniel Penny for protecting them from Jordan Neely who they say was drugged out.

""The guy in the tan (Penny) did take him down really respectfully... he didn't choke him.""

Penny was charged with m*nslaughter & criminally negligent h*micide by Alvin Bragg for protecting NYC subway passengers from Neely.

Penny is a hero.",Collin Rugg,23400.0,851.0,99600.0,"11:40 AM · Nov 12, 2024"
https://x.com/RickyDoggin/status/1855039105589297440,This is pretty good ,A Man Of Memes,371.0,12.0,1319.0,"7:06 PM · Nov 8, 2024"
https://x.com/SaraGonzalesTX/status/1856860763173814286,Yep.,Sara Gonzales,,,,"7:44 PM · Nov 13, 2024"
https://x.com/libsoftiktok/status/1858233999971508726,"The election was nearly 2 weeks ago and they’re still counting ballots in Illinois.

They’re also trying to steal elections in CA, PA, NC, and AZ.

Crazy how these states keep “finding” more ballots to county 12 days after the election",Libs of TikTok,12300.0,478.0,50000.0,"2:41 PM · Nov 17, 2024"
