LINK,AUTHOR,CONTENT,REACTIONS,COMMENTS,SHARES,NARRATIVE
https://www.facebook.com/OutkickTheCoverage/posts/pfbid02cbxZY5BbhoVTA7HTR1wuL8zKMPxdh38tc9g22aoG1g5BMpMYZiW9L3kGX1EgL79ql,OutKick,"On Friday, Target announced it would only sell its Pride Month collection in ""select stores"" next month. The company cited the backlash it received one year ago for the change.",514.0,238.0,55.0,target_suits_engagements
https://fb.watch/vw-HT41RO8/,,,70.0,3.0,,target_suits_engagements
https://www.facebook.com/ChristianPost.Intl/posts/pfbid038M3LtBLWPf4srDr8mALJkVHzLCbbBKVb52CUDRJcdh65aZ8zitKXVob8v5iemF6Zl,The Christian Post,Target continues to face backlash over its Pride-themed clothing line that includes a “tuck-friendly” swimsuit and products created by a brand that designs apparel and other items promoting satanic imagery. #Target #boycott #genderidentity #LGBT #pridemonth,52.0,188.0,5.0,target_suits_engagements
https://www.facebook.com/realCharlieKirk/videos/1303423483921335,,,2300.0,523.0,,target_suits_engagements
https://www.facebook.com/MattWalshBlog/posts/pfbid02KbFATjWk3gotbYghCTgrPtJ1qmt3u8wP3bFtffGmERsfmC37yF3PkQNqr8vJtJg1l,Matt Walsh,,7800.0,1700.0,191.0,target_suits_engagements
https://www.facebook.com/lilagracerose/posts/pfbid0V7JY1SbePSWh2yj3MYNijMJNUrSN4Zo8fXVd8hxBS2ApeUtP6K2LD3r2zu7QgkrBl,Lila Rose,"EVIL: Target is selling ""chest-binders"" and ""tuck-friendly"" bathing suits and pride gear for children. Children deserve to have their innocence protected, not sabotaged. Children suffering with gender identity disorder need care and support, not products that push the self-harm of gender ideology.",780.0,430.0,299.0,target_suits_engagements
https://www.facebook.com/GlennBeck/videos/1663635614488061,,,779.0,232.0,,target_suits_engagements
https://www.facebook.com/lilagracerose/posts/pfbid0rhPys2dk9GELUx2t9taNgTQAAHe8vjP2ywPtzecgqWNwHrESV5CgbrcRanKobE4Jl,Lila Rose,"I haven’t shopped at Target for almost a year, and many of my friends haven’t, either. Their promotion of dangerous gender ideology to children is unacceptable. Don’t keep patronizing businesses that hate your values, right to your face. ",1300.0,367.0,86.0,target_suits_engagements
https://www.facebook.com/RepMTGreene/posts/pfbid02oSMjyoxunCaNLVGX2eSnpGZuD9jzksEAyZnnhrJRGVVN9XDQRWcc6iD7nDV3ki6el,Congresswoman Marjorie Taylor Greene,"Not only was the shooter a trans from El Salvador, she also had a gun engraved with “Free Palestine” but investigators can’t say if she was politically motivated or not.",1400.0,2500.0,935.0,lakewood_shooter_engagements
https://www.facebook.com/drmichaelsavage/posts/pfbid021uf7mJURoP3Ano9wDU1Fy8d2bHY1qFR7UViXZv5cQ9c5ueQihp8Vf8CbZd2QHBoWl,Michael Savage,trans maniac who shot up church  had PALESTINE   sticker on rifle  ,115.0,32.0,27.0,lakewood_shooter_engagements
