LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,NARRATIVE
https://x.com/scarlett4kids/status/1661888114720161792,Here’s why the ,Scarlett Johnson,5104,248,23200,target_suits_engagements
https://x.com/glennbeck/status/1661436833060847625,"In just one week, Target has gone from applauding its newest pro-trans merchandise as a ""good business decision"" to relocating it to the back of some stores. This is because people like YOU decided to speak with your dollars and let them know you've had ENOUGH of this.",Glenn Beck,876,46,4556,target_suits_engagements
https://x.com/iheartmindy/status/1662202380606373888,"For all the pedo-apologists trying to claim Target’s “genital tucking” swimsuits aren’t being promoted to kids…then why are they using one to model them?

Take your lies and your fake fact checkers and shove them, groomers. ",Mindy MF Robinson,580,31,1928,target_suits_engagements
https://x.com/MattWalshShow/status/1658555417251704832,What ,The Matt Walsh Show,14300,1407,39800,target_suits_engagements
https://x.com/scarlett4kids/status/1661124520093122565,Conservative women should be embarrassed to shop at ,Scarlett Johnson,6783,372,24800,target_suits_engagements
https://x.com/Liz_Wheeler/status/1659922300513263616,Target’s transgender “tuck-friendly” clothing for children was inspired by a drag queen. These people are deliberately destroying our kids. I will never spend another penny at Target. Boycott them into obscurity.,Liz Wheeler,4385,279,13400,target_suits_engagements
https://x.com/megbasham/status/1661843483043176466,So ,Megan Basham,3035,182,12100,target_suits_engagements
https://x.com/charliekirk11/status/1661065095919849472,"BREAKING: Target is holding an ""emergency"" meeting over its woke LGBTQ merchandise and tuck friendly bathing suits in the kids section, trying to avoid a ""Bud Light Situation"" 

Target hates you. Stop shopping there. Make them suffer!",Charlie Kirk,3094,287,12700,target_suits_engagements
https://x.com/DameScorpio/status/1723294486141272144,THE BIGGEST BUSINESS LOSERS OF THE YEAR…,𝓓𝓪𝓻,198,1,295,target_suits_engagements
https://x.com/Teagan1776/status/1661221132383449090,"Tuck Friendly Target can hold all the Emergency meetings they want, yet the fact is they targeted Children. There is No amount of rebranding or saying Oopsy that will Ever change public opinion when it comes to forgiving groomers! Bye Felicia!!!",Teagan1776,818,50,1149,target_suits_engagements
https://x.com/DrLoupis/status/1658040389054484483,The kids pride collection from Target (US) includes a penis tucking swimsuit for babies.,Dr. Anastasia Maria Loupis,413,113,1015,target_suits_engagements
https://x.com/libsoftiktok/status/1660986542972624896,Target has gone completely woke. They’re now selling tucking and binding clothing for little kids.,Libs of TikTok,17200,3865,71400,target_suits_engagements
https://x.com/libsoftiktok/status/1757080853665169706,"Colorado Springs shooter: nonbinary 
Nashville school shooter: trans
Aberdeen shooter: trans
Denver school shooter: trans
Iowa school shooter: trans/genderfluid
Lakewood Church shooter: trans

The modern LGBTQ+ movement is radicalizing our youth into becoming violent extremists.",Libs of TikTok,15500,961,52600,lakewood_shooter_engagements
https://x.com/EndWokeness/status/1757085158744756236,"The shooter behind the Joel Osteen church attack in Lakewood yesterday:

-Leftist
-Transgender 
-El Salvadoran immigrant 
-Free Palestine sticker on the gun

Expect this story to disappear real quick",End Wokeness,12600,380,62500,lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1757078207554281823,"BREAKING: The Lakewood Church shooter was transgender.

Watch how quickly this story disappears.",Libs of TikTok,22200,1106,91900,lakewood_shooter_engagements
https://x.com/AmiriKing/status/1758566662406636026,"The common denominator:

2018 Aberdeen Shooter - Transgender

2019 Colorado shooter 1 - transgender

2019 Denver shooter 2 - transgender

2023 Nashville shooter - transgender

2024 Iowa shooter - transgender

2024 Lakewood shooter - transgender",Amiri King,1019,108,3578,lakewood_shooter_engagements
